My Type,Saint Motel
Otis (feat. Otis Redding),JAY-Z & Kanye West
Lift Off (feat. Beyoncé),JAY-Z & Kanye West
That's My Bitch,JAY-Z & Kanye West
Welcome to the Jungle,JAY-Z & Kanye West
Album of the Year (Freestyle),J. Cole
Super Gremlin,Kodak Black
Westbrook,JID & A$AP Ferg
sons & critics freestyle,Baby Keem
Down and Out (feat. Kanye West & Syleena Johnson),Cam'ron
Southern Hospitality (feat. Pharrell Williams),Ludacris
Glamorous (feat. Ludacris),Fergie
No More ?'s (feat. Ice Cube),Eazy-E
Johnny P's Caddy,Benny the Butcher & J. Cole
Money On The Table (feat. Benny the Butcher),Belly
Crowns for Kings (Feat. Black Thought),Benny the Butcher
Sunday School (feat. 38 Spesh & Jadakiss),Benny the Butcher
18 Wheeler (feat. Pusha T),Benny the Butcher
Intro Skit,Benny the Butcher
5 to 50 (feat. India),Benny the Butcher
Dirty Harry (feat. Rj Payne & Conway the Machine),Benny the Butcher
Brand New 911 (feat. Westside Gunn),Joey Bada$$
blue water,mike.
Possessive (feat. Lil Wayne & BLEU),Chris Brown
Start It Up,Alex Mali
Scared To Live,The Weeknd
False Direction,Dayglow
"L.A., L.A. (feat. Mobb Deep & Tragedy Khadafi) [Kuwait Mix]",Capone-N-Noreaga
Kick In the Door,The Notorious B.I.G.
Against All Odds,Makaveli
The Bitch In Yoo,Common
Second Round K.O.,Canibus
The Baddest (feat. Diddy),Joey Bada$$
Out My Body,870glizzy & Phonk Killer
SUMMER,THE CARTERS
NICE,THE CARTERS
Out of Time,The Weeknd
KU LO SA - A COLORS SHOW,Oxlade
Buga (Lo Lo Lo),Kizz Daniel & Tekno
Come Closer (feat. Drake),Wizkid
No Wahala (feat. Kizz Daniel & Tiwa Savage) [Remix],1da Banton
The Light,Common
Rapper's Delight,The Sugarhill Gang
The Message,Grandmaster Flash & The Furious Five
Mo Money Mo Problems (feat. Ma$e & Puff Daddy),The Notorious B.I.G.
Universal Mind Control (UMC),Common
The Way I Am,Eminem
In the Zone,P.L.
Eazy-er Said Than Dunn (feat. Dr. Dre),Eazy-E
Express Yourself,N.W.A
It's Funky Enough,The D.O.C.
100 Miles and Runnin',N.W.A
Jackin' For Beats,Ice Cube
Check Yo Self (feat. Das EFX) [Remix],Ice Cube
Piggy Bank,50 Cent
Why We Thugs,Ice Cube
Hustlin',Rick Ross
California Vacation,The Game
Get Up,50 Cent
NC-17,Travis Scott
Emotional,Carl Thomas
"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",A$AP Rocky
I Wish,Carl Thomas
Summer Rain,Carl Thomas
Skyfall,Adele
Burden Of Proof,Benny the Butcher
Kim,Eminem
Essence (feat. Tems),Wizkid
"Sing About Me, I'm Dying of Thirst",Kendrick Lamar
Da Art of Storytellin' (Pt. 1),Outkast
A.D.H.D,Kendrick Lamar
Streets Is Talking,JAY-Z & Beanie Sigel
This Can't Be Life (feat. Scarface),JAY-Z & Beanie Sigel
Success (feat. Nas),JAY-Z
Get Your Mind Right Mami (feat. Snoop Dogg),JAY-Z & Memphis Bleek
"You, Me, Him and Her",JAY-Z & Dynasty
Guilty Until Proven Innocent (feat. R. Kelly),JAY-Z
Be (Intro),Common
Perfect Timing,"YG, Mozzy & Blxst"
Lucifer,JAY-Z
Anakin,Blanco
Westside Story (feat. 50 Cent),The Game
Where I'm From (feat. Nate Dogg),The Game
Special (feat. Nate Dogg),The Game
Ms. Jackson (Radio Mix),Outkast
Intro,50 Cent
What Up Gangsta,50 Cent
Can I Kick It?,A Tribe Called Quest
O.P.P,Naughty By Nature
"Dumpin' (feat. Hussein Fatal, Papoose & Carl Thomas)",2Pac
How I Met My Ex,Dave
Somebody's Gotta Die,The Notorious B.I.G.
A Life In The Day of Benjamin Andre (Incomplete),Outkast
Gold,GZA
Shy Guy,Diana King
Top Floor GTR,"Jay Worthy, Leven Kali & Wallie the Sensei"
Interlude,JAY-Z
December 4Th,JAY-Z
What More Can I Say,JAY-Z
Encore,JAY-Z
Change Clothes,JAY-Z
Threat,JAY-Z
Moment of Clarity,JAY-Z
Skew It On the Bar-B (feat. Raekwon),Outkast
Average Cat (Jay-Z Diss!!),Beanie Sigel & Freeway
"Girls, Girls, Girls",JAY-Z
Justify My Thug,JAY-Z
"Duel of the Iron Mic (feat. Masta Killa, Dreddy Kruger, Inspectah Deck & Ol' Dirty Bastard)",GZA
TRUCKS IN PLACE,Ludwig Göransson
Danger Zone,Kenny Loggins
Numb,LINKIN PARK
Dear Mama,2Pac
If I Die 2Nite,2Pac
Me Against the World (feat. Dramacydal),2Pac
So Many Tears,2Pac
Temptations,2Pac
Exhibit C (Radio Edit),Jay Electronica
Keep Ya Head Up,2Pac
Blue Magic,JAY-Z
Show Me What You Got,JAY-Z
Something Just Like This,The Chainsmokers & Coldplay
Paid In Full,Eric B. & Rakim
Mural,Lupe Fiasco
"GOD DID (feat. Rick Ross, Lil Wayne, JAY-Z, John Legend & Fridayy)",DJ Khaled
Blueprint (Momma Loves Me),JAY-Z
"These Walls (feat. Bilal, Anna Wise & Thundercat)",Kendrick Lamar
u,Kendrick Lamar
Momma,Kendrick Lamar
For Sale? (Interlude),Kendrick Lamar
Allure,JAY-Z
My 1st Song,JAY-Z
Do It Again (Put Ya Hands Up) [feat. Amil & Beanie Sigel],JAY-Z
Disco Inferno,50 Cent
Temperature's Rising (feat. Crystal Johnson),Mobb Deep
Blue Laces 2,Nipsey Hussle
Extreme Ways,Moby
Wash,Tekno
willow,Taylor Swift
champagne problems,Taylor Swift
Get Up,Lost Boyz
Death Row East,Nas
EPMD 2 (feat. Eminem & EPMD),Nas
It Ain't Hard to Tell,Nas
Come Get Me,Nas
Project Windows (feat. Ronald Isley),Nas
Shoot 'em Up,Nas
Last Words (feat. Nashawn & Millennium Thug),Nas
Quiet N****s (feat. Bravehearts),Nas
God Love Us,Nas
Family (feat. Mobb Deep),Nas
Big Girl,Nas
New World,Nas
You Owe Me (feat. Ginuwine),Nas
Nastradamus,Nas
Some Of Us Have Angels,Nas
"N.Y. State of Mind, Pt. ll",Nas
The Message,Nas
I Gave You Power,Nas
Watch Dem N****s (feat. Foxy Brown),Nas
Live N***a Rap (feat. Mobb Deep),Nas
If I Ruled the World (Imagine That) [feat. Lauryn Hill],Nas
Street Dreams,Nas
Nas Is Coming (feat. Dr. Dre),Nas
"Affirmative Action (feat. AZ, Cormega & Foxy Brown)",Nas
Take It In Blood,Nas
The Genesis,Nas
Halftime,Nas
Memory Lane (Sittin' in da Park),Nas
You're da Man,Nas
Just a Friend 2002,Mario
Dance Now,JID & Kenny Mason
Kolo Kolo,Patoranking & Diamond Platnumz
Go!,Common
"It's Your World, Pt. 1 & 2",Common
The Corner (feat. The Last Poets) [feat. The Last Poets],Common
The Ruler's Back,JAY-Z
Jigga That N***a,JAY-Z
Never Change,JAY-Z
All I Need,JAY-Z
Lyrical Exercise,JAY-Z
GhettoMusick,Outkast
Bowtie (feat. Sleepy Brown & Jazze Pha),Outkast
Unhappy,Outkast
Roses,Outkast
Hey Ya!,Outkast
The Rooster,Outkast
Bust (feat. Killer Mike),Outkast
"Tomb of the Boom (feat. Konkrete, Big Gipp & Ludacris)",Outkast
Bad To Me,Wizkid
Marcy Me,JAY-Z
Kill Jay Z,JAY-Z
Hello Brooklyn 2.0 (feat. Lil Wayne),JAY-Z
Say Hello,JAY-Z
Intro: A Million and One Questions / Rhyme No More,JAY-Z
I Know What Girls Like (feat. Lil' Kim & Puff Daddy),JAY-Z
Imaginary Players,JAY-Z
Coming of Age (Da Sequel) [feat. Memphis Bleek],JAY-Z
How We Roll (feat. Panama PI),Canibus
Gone Till November (feat. R. Kelly & Canibus) [The Makin' Runs Remix],Wyclef Jean
Rock N Roll (feat. Kanye West & Kid Cudi),Pusha T
Dreamin Of The Past (feat. Kanye West),Pusha T
Neck & Wrist (feat. JAY-Z & Pharrell Williams),Pusha T
Just So You Remember,Pusha T
Brambleton,Pusha T
Diet Coke,Pusha T
"Ice Cream (feat. Ghostface Killah, Method Man & Cappadonna)",Raekwon
My President Is Black (Remix),JAY-Z
Jungle,Drake
You Must Love Me,JAY-Z
(Always Be My) Sunshine [feat. Babyface & Foxy Brown],JAY-Z
Real Niggaz (feat. Too $hort),JAY-Z
Rebel's Kick It,YoungBoy Never Broke Again
Somebody Else,The 1975
Robbers,The 1975
Love It If We Made It,The 1975
TOOTIMETOOTIMETOOTIME,The 1975
Nobody Knows,Pastor T.L. Barrett & The Youth for Christ Choir
Locked Away (feat. Adam Levine),R. City
Levels,Meek Mill
We Slide (feat. Young Thug),Meek Mill
How Much a Dollar Cost (feat. James Fauntleroy & Ronald Isley),Kendrick Lamar
Can't Knock the Hustle (feat. Mary J. Blige),JAY-Z
Politics As Usual,JAY-Z
Brooklyn's Finest (feat. The Notorious B.I.G.),JAY-Z
Dead Presidents II,JAY-Z
Feelin' It (feat. Mecca),JAY-Z
D'evils,JAY-Z
22 Two's,JAY-Z
Can I Live,JAY-Z
Friend Or Foe,JAY-Z
Ain't No N***a (feat. Foxy Brown),JAY-Z
Coming of Age (feat. Memphis Bleek),JAY-Z
Cashmere Thoughts,JAY-Z
Bring It On (feat. Big Jaz & Sauce Money),JAY-Z
Regrets,JAY-Z
Can I Live II (feat. Memphis Bleek),JAY-Z
"Phone Tap (feat. Nas, Nature, Dr. Dre & the Firm)",AZ
DEVASTATED,Joey Bada$$
One Love (feat. Q-Tip),Nas
One Time 4 Your Mind,Nas
Represent,Nas
Pay,Tekno
Corazon (feat. Lil Wayne & French Montana),GIMS
Sur ma route,Black M
Nasty,Nas
Juicy (2005 Remaster),The Notorious B.I.G.
Gimme the Loot (2005 Remaster),The Notorious B.I.G.
Big Poppa (2005 Remaster),The Notorious B.I.G.
Unbelievable (2005 Remaster),The Notorious B.I.G.
Notorious B.I.G. (feat. Lil' Kim & Puff Daddy) [2005 Remaster],The Notorious B.I.G.
Hypnotize,The Notorious B.I.G.
Tonight (feat. Mobb Deep & Joe Hooker) [2005 Remaster],The Notorious B.I.G.
Hope,Twista & Faith Evans
What You Think of That (feat. JAY-Z),Memphis Bleek
Friend or Foe '98,JAY-Z
"Parking Lot Pimpin' (feat. Memphis Bleek, Lil' Mo & Beanie Sigel)",JAY-Z
The Best of Both Worlds,R. Kelly & JAY-Z
Don't Talk,Jon B.
Bars Into Captions,Quavo & Takeoff
Bad Habit,Steve Lacy
Casa-Freak-Hoes,Tory Lanez
Go Crazy,Chris Brown & Young Thug
TEMPTATION,Joey Bada$$
Longevity (feat. French Montana & Jim Jones),Benny the Butcher & Harry Fraud
The King's Affirmation - Chill Mix (feat. Reuel Williams),Iniko
Magic Stick,Lil' Kim
Bring Em Out,T.I.
Drug Dealers Anonymous (feat. JAY Z),Pusha T
X,"ScHoolboy Q, 2 Chainz, Saudi"
I Am,Jorja Smith
Luv Is Dro (feat. Static Major & Bryson Tiller),Jack Harlow
Side Piece,Jack Harlow
Michael & Quincy,Nas
Thun,Nas
Alone,Burna Boy
No Woman No Cry,Tems
"They Want It, But No",Tobe Nwigwe & Fat Nwigwe
Coming Back For You,Fireboy DML
Interlude,Stormzy
Dance Now,JID & Kenny Mason
Crack Sandwich,JID
Surround Sound (feat. 21 Savage & Baby Tate),JID
Kody Blu 31,JID
Can’t Make U Change,JID & Ari Lennox
Stars (feat. Yasiin Bey),JID
Where I Belong,Joey Bada$$
Make Me Feel,Joey Bada$$
I'M THAT GIRL,Beyoncé
COZY,Beyoncé
ALIEN SUPERSTAR,Beyoncé
Cruise Control,Joey Bada$$
Show Me,Joey Bada$$
Ma'suga,6k
Ramenez la coupe à la maison,Vegedream
Born Again,Rihanna
Outro (feat. Lil Snupe & French Montana),Meek Mill
highway 95,Baby Keem
Wonderful Wayne & Jackie Boy,Babyface Ray & Lil Durk
"Nasty Girl (feat. Diddy, Nelly, Jagged Edge and Avery Storm)",The Notorious B.I.G.
Street General,Spice 1
Streets Is Watching,JAY-Z
Hennessy Memories,Tory Lanez
The Vent,Tory Lanez
Why Did I,Tory Lanez
Ball,6k
ALL OVER AGAIN,Josh Levi
Hide & Seek,Stormzy
What You Won't Do for Love,Bobby Caldwell
"Psycho, Pt. 2",Russ
Me You,Russ
Missin You Crazy,Russ
CIVIL WAR,Russ
Ain't Nobody Takin My Baby,Russ
Pull The Trigger,Russ
BEST ON EARTH (feat. BIA),Russ
Too Much,Russ
Are You Entertained,Russ & Ed Sheeran
UGLY (feat. Lil Baby),Russ
Ride Slow,Russ
Nobody Knows,Russ
Note To Self (feat. Joey Bada$$ & Wale),"Russ, Hit-Boy & Big Sean"
Stay Down,"Lil Durk, 6LACK & Young Thug"
Japan,Yot Club
Ykwim?,Yot Club
When It Lands,Rainbow Kitten Surprise
Live in the Moment,Portugal. The Man
Feel It Still,Portugal. The Man
"What, Me Worry?",Portugal. The Man
Galvanize,The Chemical Brothers
Go,The Chemical Brothers
Block Rockin' Beats,The Chemical Brothers
Hey Boy Hey Girl,The Chemical Brothers
Got to Keep On,The Chemical Brothers
Stand Up (feat. Shawnna),Ludacris
I Know What You Want (feat. Mariah Carey & the Flipmode Squad),Busta Rhymes featuring Mariah Carey & Flipmode Squad
So Ghetto,JAY-Z
Down On Me (feat. 50 Cent),Jeremih & 50 Cent
Country Girl (Shake It For Me),Luke Bryan
Wavin'  Flag (Coca-Cola® Celebration Mix),K'naan
soso,Omah Lay
Dear Summer (feat. JAY-Z),Memphis Bleek
Blueprint 2,JAY-Z
Woo Baby (feat. Chris Brown),Pop Smoke
Tell The Vision (feat. Kanye West & Pusha T),Pop Smoke
Moonlight,JAY-Z
All Or Nothing (feat. Bunji Garlin & Diplo),Elliphant
The Less I Know the Better,Tame Impala
Skills,Gang Starr
Headshots (4r Da Locals),Isaiah Rashad
RIP Young,Isaiah Rashad
I Like Dat,T-Pain & Kehlani
Liberation,Harold van Lennep
Compton (feat. Beenie Man),Guerilla Black
Tourner dans le vide,Indila
One Pop,Glizz
Champions League Theme (Champions League Theme),Champions League Orchestra
Legacy,JAY-Z
Big Ass Bracelet,Westside Gunn
Igwe,MidnightCrew
Free Mind,Tems
Flood the Block,Benny the Butcher
Bomb First (My Second Reply),Makaveli
Toss It Up,Makaveli
Until Morning - A COLORS SHOW,James Vickery
Intro,JAY-Z
Change the Game (feat. Beanie Sigel & Memphis Bleek),JAY-Z
One More,SG Lewis & Nile Rodgers
Something About Your Love,SG Lewis
Stricken,Disturbed
Last Resort,Papa Roach
Abobi,Patoranking
Hold On To You,Justice Posas & Izzy MArie
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
Favorite Song,Toosii
Made of Gold,Ibeyi & Pa Salieu
Spitting Off the Edge of the World (feat. Perfume Genius),Yeah Yeah Yeahs
Rips in Jeans,Niko B
Snow on tha Bluff,J. Cole
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
The Payback,James Brown
Out of Context,Stemm
Bad Man!,Murs
Wannabe,Spice Girls
Anthem (Soundtrack Version),"Dreamville, Big Sean & EST Gee"
Adonis Interlude (The Montage),Dreamville & J. Cole
Right Now,Dizzy Walka
Dada (feat. Davido) [Remix],Young Jonn
Bandana,Fireboy DML & Asake
Asiwaju,Ruger
Calm Down,Rema & Selena Gomez
KU LO SA,Oxlade & Camila Cabello
Real Life (feat. Stormzy),Burna Boy
22,Jayo
On a Mountain,Gunna
Sing for the Moment,Eminem
"Only (feat. Drake, Lil Wayne & Chris Brown)",Nicki Minaj
Sunlight,Forrest.
UNAVAILABLE (feat. Musa Keys),Davido
Search & Rescue,Drake
What's Beef,The Notorious B.I.G.
Shake That (feat. Nate Dogg),Eminem
Before He Cheats,Carrie Underwood
Latch (feat. Sam Smith),Disclosure
Omen (feat. Sam Smith),Disclosure
Magnets (feat. Lorde),Disclosure
Jumbotron Shit Poppin,Drake
Jimmy Cooks (feat. 21 Savage),Drake
Miami,Will Smith
And the Beat Goes On,The Whispers
"Is That Your Chick (The Lost Verses) [feat. Missy ""Misdemeanor"" Elliott, Missy Elliott, JAY-Z, C. Mitchell & Twista]",Memphis Bleek
BLACK BALLOONS l 13LACK 13ALLOONZ (feat. Twelve'len & GoldLink),Denzel Curry
Candy Rain,Soul for Real
Between the Sheets,The Isley Brothers
LVL,A$AP Rocky
All I Do,Logic
Everybody (Backstreet's Back) [Radio Edit],Backstreet Boys
4EVER,Clairo
Someone Like You,Adele
When We Were Young,Adele
Hello,Adele
Face In The Crowd,Mac Miller
I'll Be There (feat. Phonte),Mac Miller
Blue (Da Ba Dee) [Gabry Ponte Video Edit],Eiffel 65
You Don't Know My Name,Alicia Keys
Da Grind (feat. Apocalypse),Masta Ace featuring Apocalyspe
Steelo,702
Way 2 Sexy (feat. Future & Young Thug),Drake
Love All (feat. JAY-Z),Drake
Mama Said Knock You Out,LL COOL J
Guren no Yumiya (TV Size Version),Linked Horizon
Slippin',DMX
i'm a mess,Omah Lay
Blinding Lights,Fame on Fire
Could You Be Loved,Bob Marley & The Wailers
This Life,Vampire Weekend
Link Up (feat. Beam & Toian) [Spider-Verse Remix (Spider-Man: Across the Spider-Verse )],"Metro Boomin, Don Toliver & Wizkid"
Am I Dreaming,"Metro Boomin, A$AP Rocky & Roisee"
Navajo,Masego
You Are Good,Israel Houghton & New Breed
Annihilate (Spider-Man: Across the Spider-Verse),"Metro Boomin, Swae Lee, Lil Wayne & Offset"
Danger (Spider),Offset & JID
Calling (feat. A Boogie wit da Hoodie) [Spider-Man: Across the Spider-Verse],"Metro Boomin, Swae Lee & NAV"
Silk and Cologne (Spider-Verse Remix),EI8HT & Offset
Our 25th Birthday,Dave & Central Cee
UK Rap,Dave & Central Cee
All The Way Live (Spider-Man: Across the Spider-Verse),"Metro Boomin, Future & Lil Uzi Vert"
Awesome God,"Holy Drill, Telman & The Excentric"
bread & butter,Gunna
Starlight,Dave
Psycho,Dave
Ignant Shit (feat. Lil Wayne),Drake
Best I Ever Had,Drake
If I Ruled the World '15,"Big Ghost Ltd, Conway the Machine & Westside Gunn"
Rahbannga,"Big Ghost Ltd, Westside Gunn & Conway the Machine"
Brains on the Basquiat,"Big Ghost Ltd, Westside Gunn & Conway the Machine"
Fendi Seats,"Big Ghost Ltd, Conway the Machine & Westside Gunn"
Richer Porter,"Big Ghost Ltd, Conway the Machine & Westside Gunn"
The Champ Is Here,O Fresh
Thoughts from a Balcony,Mac Miller
Wherever I Go,OneRepublic
Self Love (Spider-Man: Across the Spider-Verse),Metro Boomin & Coi Leray
Tiring Game (feat. Charlie Wilson),John Newman
Heat Waves,Glass Animals
Symphony (feat. Zara Larsson),Clean Bandit
Who Told You (feat. Drake),J Hus
Versace,Westside Gunn
Comfortably Numb,Pink Floyd
Breathe (In the Air),Pink Floyd
"Another Brick In the Wall, Pt. 2",Pink Floyd
Jericho,Iniko
Cupid,FIFTY FIFTY
I Can See You (Taylor’s Version) (From The Vault),Taylor Swift
Doomsday,"Lyrical Lemonade, Juice WRLD & Cordae"
Drown,Kovic
Hurts Me (feat. Yoko Gold),Tory Lanez & Trippie Redd
Juliet & Romeo,Martin Solveig & Roy Woods
By Design (feat. Andre Benjamin),Kid Cudi
Bring Me to Life,Evanescence
I'm Still Standing,Taron Egerton
Let It Happen,Tame Impala
Where I'm From,JAY-Z
Get Away,The Internet
Girl (feat. KAYTRANADA),The Internet
Special Affair,The Internet
Next Time / Humble Pie,The Internet
Hold On,The Internet
Come Over,The Internet
Ylang Ylang,FKJ & ((( O )))
Makeba,Jain
Too Fast,Sonder
Moonlight,Kali Uchis
Psalm 62,Foggieraw
Ms. Johnson,Foggieraw
Garden Kisses (Remaster 3),Davishmar
Zaharan Oasis (Pt 1),Davishmar
Paris,The Chainsmokers
Let It Go,"Loyle Carner, Erick the Architect & FARR"
Show Me How,Men I Trust
Break for Lovers (feat. Helena),Men I Trust
Day Ones (Single from “Swagger”),Tobe Nwigwe
Nicotine (feat. Bruhnice & Sabz),Pretty Boy Aaron
West Savannah (feat. SZA),Isaiah Rashad
Ghostin',Wesley Joseph
HIT EM WHERE IT HURTS,PawPaw Rod
idk shit but colors,Keni Can Fly
Lemonhaze,PawPaw Rod
See You in Hell,Jazz Cartier
Good Grief,Bastille
Rocket Man (I Think It's Going to Be a Long Long Time),Elton John
Afro Blue (9th Wonder's Blue Light Basement Remix) [feat. Erykah Badu and Phonte],Robert Glasper Experiment
All The Time,Bahamas
Sunday Morning,k-os
Dani California,Red Hot Chili Peppers
Lips of an Angel,Hinder
Redbone,Childish Gambino
Me and Your Mama,Childish Gambino
Maria Maria (feat. The Product G&B) [Radio Mix],Santana
Can You Get To That,Funkadelic
Let U Go,lucidbeatz
Void,The Neighbourhood
Livin' in a Dream (feat. Nipsey Hussle),The Neighbourhood
Beat Take 1 (feat. Ghostface Killah),The Neighbourhood
Dark Beach,Pastel Ghost
Sweater Weather,The Neighbourhood
Softcore,The Neighbourhood
Disparate Youth,Santigold
Run the Road,Santigold
Cigarettes out the Window,TV Girl
Read My Mind,Lianne La Havas
After Dark,Mr.Kitty
14 KI's,Conway the Machine & The Alchemist
Stole the Show (feat. Parson James),Kygo
94 Camry Music,femdot.
Rich Men North of Richmond,Oliver Anthony Music
The 6th Sense,Common
Nic's Groove,The Foreign Exchange
Is It True,Tame Impala
Oh Caroline,The 1975
Guitar Beat,Prelow
Say It,Tory Lanez
Come Through and Chill (feat. J. Cole & Salaam Remi),Miguel
Disco Yes,Tom Misch & Poppy Ajudha
One and Only (feat. Ella Mai),J Hus
Militerian (feat. Naira Marley),J Hus
Nice Body (feat. Jorja Smith),J Hus
Come Look,J Hus
Big 7,Burna Boy
Talibans II (Bonus Track),Burna Boy & Byron Messia
Love Made Me Do It,JAE5 & BNXN
Sky Walker (feat. Travis Scott),Miguel
All I Want Is You (feat. J.Cole),Miguel
Sittin' On Top Of The World,Burna Boy & 21 Savage
King Kunta,Kendrick Lamar
Sex & Candy,Marcy Playground
Kiss of Life,Sade
No Ordinary Love,Sade
Different This Time,Cornelia Murr
Woo,Erykah Badu
Hotel California,Eagles
Soulboy (IZCO Remix),p-rallel & Greentea Peng
Sun Is Shining,Bob Marley & The Wailers
Hijos Del Sol,Hermanos Gutiérrez
Le soleil dans le monde,Domenique Dumont
Silver Tongue Devil,Masego & Shenseea
Buttons,The Pussycat Dolls
Bittersweet,Lianne La Havas
Lost,Frank Ocean
Meridian,Dave & Tiakola
Everybody Wants to Rule the World,Tears for Fears
Put It On,Big L
Black Beatles (feat. Gucci Mane),Rae Sremmurd
Wanted Dead or Alive,Bon Jovi
Never Give Up,Chronixx
Hit 'Em Up Style (Oops!),Blu Cantrell
Thong Song,Sisqó
ecstacy (slowed),SUICIDAL-IDOL
Creep,TLC
I Wonder,Kanye West
Hennessey (feat. E.D.I & Sleepy Brown) [Red Spyda Remix],2Pac